type	index	image	question	A	B	C	D	answer
lc	1	data/figure/lc/2023-04-20--华泰期货-经济高频数据追踪_page30_家用电冰箱产量当月值万台.jpg	假设2020年的家用电冰箱产量在9月达到峰值后没有回落，全年平均产量会如何变化？	显著增加	略有增加	保持不变	显著减少	A
lc	2	data/figure/lc/2024-08-20--山西证券-海外经济周观察_page5_图97月新屋开工数再度低于预期水平千.jpg	假设2024年政府出台刺激房地产政策，新屋开工数在下半年会有何反应？	显著增加	小幅波动	保持不变	继续下降	A
lc	3	data/figure/lc/2024-06-26--财信证券-宏观经济研究周报：国内经济数据平稳，美国零售数据不及预期_page6_图4恒生指数恒生中国企业指数点.jpg	如果2022年恒生指数在低点时政府出台刺激政策，指数走势会有何不同？	迅速反弹	继续下跌	保持平稳	波动加剧	A
lc	4	data/figure/lc/2023-11-12--东海证券-宏观周报：国际关系出现积极新进展，但PMI有隐忧_page11_图17PTA开工率.jpg	如果2022年的PTA开工率在整个年度内保持稳定，对2023年的市场预期会有什么影响？	市场预期会更加乐观	市场预期会更加悲观	市场预期不会有显著变化	市场预期会波动不定	C
lc	5	data/figure/lc/2023-10-23--开源证券-宏观周报：节后供需恢复速度偏缓_page4_图810月前20天地产链需求先降后升平均值较9月下降.jpg	假设2023年4月线材需求继续保持高位，对整体市场需求有何影响？	整体市场需求会显著增加	整体市场需求会略有下降	整体市场需求会保持稳定	整体市场需求会大幅波动	A
lc	6	data/figure/lc/2024-06-04--国金证券-大类资产月报第13期：6月展望，“预期”或将起变化？_page5_no_caption.jpg	假设农产品价格在2024年5月持续上涨，对整体大宗商品指数的影响会是怎样的？	指数会上升	指数会下降	指数保持不变	指数波动加剧	A
lc	7	data/figure/lc/2024-07-07--民生证券-高频数据跟踪周报：本周地产销售季节性回落_page4_图5PTA开工率转降.jpg	假设2024年PTA开工率与2023年相同，但房地产市场政策收紧，房地产销售会如何变化？	房地产销售将显著增加	房地产销售将略有下降	房地产销售将保持稳定	房地产销售将大幅下降	D
lc	8	data/figure/lc/2024-02-18--西南证券-2024年1月通胀数据点评：基数带动CPI向下，但不必悲观_page3_图82024年2月初南华工业品指数同比走低.jpg	如果2022年南华工业品指数持续走低，这可能预示着经济的哪种趋势？	经济增长放缓	经济快速增长	通货膨胀加剧	市场需求旺盛	A
lc	9	data/figure/lc/2024-02-18--西南证券-2024年1月通胀数据点评：基数带动CPI向下，但不必悲观_page2_图6石油相关行业价格同比走势分化.jpg	假设2023年7月蔬菜价格出现显著上涨，猪肉价格会如何反应？	猪肉价格会随之上涨	猪肉价格会保持不变	猪肉价格会小幅下降	猪肉价格会大幅下降	A
lc	10	data/figure/lc/2024-07-09--天风证券-宏观点评：央行创新工具的深意_page2_图1利率走廊区间单位.jpg	如果2021年的超额存款准备金利率保持在较高水平，对逆回购利率有何影响？	逆回购利率会上升	逆回购利率会下降	逆回购利率保持不变	逆回购利率剧烈波动	A
lc	11	data/figure/lc/2023-12-01--国金证券-2024年宏观经济形势展望：江春入旧年_page16_图表552017年之前城投平台债务对基建投资形成支撑.jpg	如果2013年城投平台带息债务同比增速继续保持高位，基建投资累计同比增速会如何变化？	继续上升	小幅下降	大幅下降	保持稳定	A
lc	12	data/figure/lc/2024-05-22--国金证券-见微知著系列之七十六：工业品涨价的“复苏”逻辑_page11_图表315月以来CCFI综合指数进一步抬升.jpg	如果2024年CCFI综合指数继续保持上升趋势，工业品价格会如何变化？	工业品价格会大幅上涨	工业品价格会小幅波动	工业品价格会保持稳定	工业品价格会下降	A
lc	13	data/figure/lc/2023-07-28--东兴证券-美联储7月FOMC点评：美联储保留进一步加息空间_page3_图13欧洲制造业再探低点.jpg	假设2022年核心CPI增速放缓，食品和非酒精饮料价格会如何变化？	价格会大幅下降	价格会小幅上升	价格会保持稳定	价格会剧烈波动	B
lc	14	data/figure/lc/2024-01-16--金源期货-宏观周报：国内博弈宽松预期，美国通胀意外反弹_page9_图表2123城地铁客运量.jpg	如果2021年政府加大了对公共交通的补贴力度，2021年的城地铁客运量会如何变化？	显著上升	略有下降	保持不变	剧烈波动	A
lc	15	data/figure/lc/2024-03-26--国信证券-货币政策与流动性观察：资金利率温和回升_page8_图19央行逆回购余额跟踪.jpg	假设2023年OMO利率保持不变，DR007的波动会如何变化？	波动幅度减小	波动幅度增大	波动幅度保持不变	波动幅度先增后减	A
lc	16	data/figure/lc/2024-01-22--招商银行-快评号外：美国物价2023年12月数据点评-意料之外，情理之中_page2_图2能源核心商品价格双双环比止跌.jpg	假设2021年核心商品价格持续上涨，对整体CPI环比增速的影响是什么？	明显增加	略微减少	基本稳定	大幅下降	A
lc	17	data/figure/lc/2024-02-26--中国银河-中央财经委第四次会议解读：新一轮朱格拉周期的可能性_page2_图3政府债发行加速驱动社会融资增速上行.jpg	假设2022年人民币贷款余额同比增速大幅下降，社会融资规模存量同比增速会如何反应？	上升	下降	保持不变	剧烈波动	B
lc	18	data/figure/lc/2023-10-11--中银证券-二季度对外经济部门体检报告：内资回流推动短期资本净流出大幅收窄，汇率调节支持对外净资产规模创新高_page4_图表7直接投资差额及其细分.jpg	假设2020年6月外来直接投资（债权）大幅上升，直接投资差额会如何变化？	直接投资差额会大幅上升	直接投资差额会大幅下降	直接投资差额会保持稳定	直接投资差额会小幅波动	A
lc	19	data/figure/lc/2023-04-04--华泰期货-宏观大类日报：海外通胀预期再起_page4_图13商业银行同业存单利率丨单位.jpg	假设2021年中期商业银行同业存单利率没有出现反弹，接下来的一年内利率走势会如何？	继续下降	平稳波动	显著上升	剧烈波动	A
lc	20	data/figure/lc/2023-06-06--浦银国际证券-2023年中期宏观经济展望：美国渐入衰退，中国复苏再起_page37_no_caption.jpg	假设亚特兰大联储薪资增长指数在2021年至2022年间保持稳定，对整体就业市场的影响会如何变化？	就业市场将更加活跃	就业市场将趋于平稳	就业市场将出现波动	就业市场将陷入低迷	B
lc	21	data/figure/lc/2024-06-28--信达证券-美西方制裁俄罗斯的复盘及启示_page17_图19俄乌冲突后俄罗斯的经济状况比预期要好.jpg	假设2008年全球金融危机没有对俄罗斯经济造成影响，GDP实际增长率会如何变化？	持续上升	略有下降后回升	大幅下降	保持平稳	A
lc	22	data/figure/lc/2023-08-18--中银证券-流动性专题：社融-M2剪刀差和利率之惑_page5_图表3财政支出与M2同比大致同向.jpg	假设2021年财政存款余额同比增速持续上升，M2同比增速的走势会有何不同？	M2同比增速会下降	M2同比增速会上升	M2同比增速会保持不变	M2同比增速会剧烈波动	B
lc	23	data/figure/lc/2024-08-06--中国银河-日本股市暴跌的背后_page3_图5日本平均工资和名义员工报酬.jpg	如果2018年日本平均工资增速放缓，名义员工报酬会如何变化？	名义员工报酬会加速增长	名义员工报酬会减速增长	名义员工报酬会保持不变	名义员工报酬会急剧下降	B
lc	24	data/figure/lc/2023-05-24--东海证券-供需视角下的房地产趋势研判：今朝不似昨朝寒，地产两极化显然_page8_图10住宅新开工与竣工累积面积万平方米.jpg	假设2014年住宅新开工面积增速突然下降至零，对2015年竣工面积的影响是什么？	竣工面积增速明显下降	竣工面积增速略有上升	竣工面积增速保持不变	竣工面积增速大幅上升	A
lc	25	data/figure/lc/2023-11-24--开源证券-宏观深度报告：2024年宏观经济展望-破浪前行_page6_图4美国服务消费保持坚挺.jpg	如果2021年美国个人消费支出服务环比增速继续保持高位，对2022年的经济增长有何影响？	经济增长会显著放缓	经济增长会持续强劲	经济增长会趋于平稳	经济增长会出现负增长	B
lc	26	data/figure/lc/2023-09-24--中国银河-金融高频数据周报：央行回应市场关注热点：汇率、社融、降息_page5_图1710年期国债收益率上行至268.jpg	如果2023年中期借贷便利(MLF)利率在年初就开始下降，10年期国债收益率的变化趋势会如何？	提前开始下降	延迟开始下降	保持不变	先上升后下降	A
lc	27	data/figure/lc/2024-06-04--国金证券-大类资产月报第13期：6月展望，“预期”或将起变化？_page8_no_caption.jpg	假设2024年第一季度远期升水持续下降，对离岸人民币汇率有何影响？	即期汇率将显著上升	即期汇率将保持稳定	即期汇率将显著下降	即期汇率将剧烈波动	C
lc	28	data/figure/lc/2023-08-13--东吴证券-宏观点评：如何看待7月信贷数据创新低？_page3_图6企业中长期贷款结束11个月的同比扩张.jpg	如果2020年的新增企业中长期贷款量与2019年持平，会对当年的GDP增长产生什么影响？	GDP增长显著下降	GDP增长保持稳定	GDP增长显著上升	GDP增长波动加大	B
lc	29	data/figure/lc/2024-02-15--平安证券-宏观动态跟踪报告：上修2024年美国经济增长预测至2%_page3_图表7美国市场利率在2024Q4先升后降.jpg	假设2023年11月美国10年国债利率出现显著下降，这可能对美国30年抵押贷款固定利率产生什么影响？	利率上升	利率下降	利率保持稳定	利率先升后降	B
lc	30	data/figure/lc/2024-06-02--华金证券-华金宏观·双循环周报（第60期）：科学分析长期国债收益率的合理区间_page10_图19全球汇率美元指数较上周基本持平.jpg	假设美元指数在2024年2月后保持稳定，对美元/英镑汇率的影响会是怎样的？	美元/英镑汇率会上升	美元/英镑汇率会下降	美元/英镑汇率会保持不变	美元/英镑汇率会剧烈波动	C
lc	31	data/figure/lc/2023-07-31--中邮证券-宏观研究：装备制造业盈利占优，消费需求温和复苏_page5_图表5装备制造业相关行业盈利领先.jpg	如果2022年8月电气机械和器材制造业利润总额累计同比增速放缓，企业单位中长期贷款增速会有何影响？	企业单位中长期贷款增速会上升	企业单位中长期贷款增速会下降	企业单位中长期贷款增速会保持不变	企业单位中长期贷款增速会剧烈波动	B
lc	32	data/figure/lc/2023-08-27--中原证券-宏观专题：当前基本面与主要政策梳理_page9_图24我国汽车半钢胎周频开工率.jpg	假设2021年我国汽车半钢胎周频开工率与2020年持平，会对行业整体产能利用率产生什么影响？	产能利用率大幅提高	产能利用率大幅下降	产能利用率基本稳定	产能利用率波动明显	C
lc	33	data/figure/lc/2024-07-30--中邮证券-如何交易联储降息？_page9_图表18美国PMI情况.jpg	如果2023年4月美国制造业PMI初值保持在55以上，对整体经济有何影响？	经济增长放缓	经济增长加速	经济陷入衰退	经济波动加剧	B
lc	34	data/figure/lc/2024-03-14--中邮证券-宏观研究：从美国CPI结构变化观察PCE的边际回落_page6_图表6美国二手车批发价格.jpg	如果2024年初美国二手车批发价格指数继续下跌，对整体通胀水平会有何影响？	整体通胀水平会进一步下降	整体通胀水平会上升	整体通胀水平保持稳定	整体通胀水平会出现短期反弹	A
lc	35	data/figure/lc/2023-04-19--华安期货-宏观分析报告：主要经济指标向好，市场风险偏好继续改善_page3_图表8CPI食品和非食品分项.jpg	假设2022年6月之后PPI持续下降，CPI和PPI剪刀差将如何变化？	剪刀差继续扩大	剪刀差逐渐缩小	剪刀差保持稳定	剪刀差出现逆转	B
lc	36	data/figure/lc/2023-06-08--华泰期货-经济高频数据追踪_page25_平均值项新口径全球发运总量万吨.jpg	假设2021年全年的数据都保持在3000万吨以上，对全球发运总量的影响会如何？	全球发运总量显著增加	全球发运总量基本不变	全球发运总量略有下降	全球发运总量剧烈波动	A
lc	37	data/figure/lc/2023-05-15--平安证券-中国经济高频观察（5月第2周）：客货运修复放缓_page4_图表15本周国内执行航班不含港澳台环比减少pmb04.jpg	假设2022年国内航班执行架次全年保持稳定，对2023年的趋势有何影响？	2023年会延续稳定趋势	2023年会有显著上升	2023年会有显著下降	2023年会出现波动	A
lc	38	data/figure/lc/2023-11-27--国金证券-海外周度观察：谁是“变局者”，高利率状态下的资产负债表风险_page8_图表26还本付息压力分化美德英持续下降.jpg	假设2010年至2015年间各国央行实施了更宽松的货币政策，主要AEs家庭部门偿债率的变化趋势会如何？	偿债率普遍下降	偿债率普遍上升	偿债率波动加剧	偿债率保持不变	A
lc	39	data/figure/lc/2024-03-07--中国银河-对美出口转正拉动外贸超预期_page2_图21月亚洲产业链国家出口大幅改善.jpg	假设2023年8月日本的出口数据继续保持负增长趋势，这将对亚洲整体出口表现产生何种影响？	整体出口表现将恶化	整体出口表现将改善	整体出口表现将保持不变	整体出口表现将波动不定	A
lc	40	data/figure/lc/2024-09-02--西南证券-宏观周报：积极应对人口老龄化，国际油价波动增大_page6_图1布伦特WTI原油现货价格同比增速下降更新至2024年8月29日.jpg	假设2021年WTI原油现货价格没有达到峰值，后续几年的油价走势会如何变化？	持续上升	持续下降	波动减小并趋于稳定	波动增大且不稳定	C
