type	index	image	question	A	B	C	D	answer
lc	1	data/figure/lc/2024-02-22--中国银河-宏观专题报告：美国库存回升，中国出口转正_page4_图14日本进出口额与贸易差额.jpg	哪些年份日本出口金额增长明显？	18-Dec	20-Dec	21-Jun	23-Mar	B;C
lc	2	data/figure/lc/2024-02-27--华安证券-大类资产配置月报第32期：2024年3月：政策博弈加剧，关注“两会”与美联储降息时点_page26_高炉开工率PX开工率走平轮胎开工率下降.jpg	图中哪个指标在2023年12月至2024年1月期间波动最大？	开工率:汽车轮胎:全钢胎	PX开工率（周平均值）	唐山:Custeel:高炉开工率	所有指标波动一致	A
lc	3	data/figure/lc/2023-05-10--华泰期货-物流看世界_page33_上海出口集装箱结算运价指数点.jpg	哪些年份北美东海岸至中国/东亚的运价指数保持相对稳定？	22-Jan	22-Feb	22-Mar	22-Apr	A;B
lc	4	data/figure/lc/2024-07-05--建信期货-宏观市场半年报：央行宽松、实体补库与春季躁动_page8_图7美国部门债务杠杆率.jpg	实体部门债务杠杆率在哪几年达到峰值？	2010	2015	2020	2025	C
lc	5	data/figure/lc/2024-02-27--华安证券-大类资产配置月报第32期：2024年3月：政策博弈加剧，关注“两会”与美联储降息时点_page32_1月外汇储备由流入转为流出.jpg	哪些月份外汇储备变动为负值？	23-Feb	23-May	23-Aug	23-Oct	B;C;D
lc	6	data/figure/lc/2023-08-09--信达证券-暨出口份额分析框架：出口的短期机会与长期挑战_page21_图29与我国相关性强的耐用品库存增速.jpg	在2020年至2023年间，哪些类别的产品增速波动最大？	电脑及电脑外围设备和软件	电气和电子产品	机械设备和用品	家具及家居摆设	A;D
lc	7	data/figure/lc/2024-09-29--东海证券-国内观察：2024年8月工业企业利润数据-关注四季度利润增速回升的可能性_page3_图8工业企业产成品存货同比.jpg	在哪些时间段内，规模以上工业企业产成品存货同比增速出现显著下降？	2015-03至2016-05	2017-07至2018-02	2019-04至2019-11	2021-01至2021-08	A;C
lc	8	data/figure/lc/2024-05-07--国泰期货-海外宏观及大类资产周度报告_page28_no_caption.jpg	图中哪些时间段的资金流量波动最大？	2021年12月	2022年6月	2023年3月	2024年5月	B;C
lc	9	data/figure/lc/2023-11-26--东海证券-宏观周报：地产销售恢复偏缓，风险化解力度加大_page3_图1商品住宅累计待售面积及增速万平方米.jpg	哪些年份商品住宅待售面积达到峰值？	14-Jun	15-Jun	16-Jun	18-Jun	B;C
lc	10	data/figure/lc/2023-04-07--国元证券-宏观研究报告：黄金价格存在变数_page2_图4在重大危机事件出现时VIX与金价涨幅显著.jpg	图中VIX指数显著上升的年份有哪些？	2008	2011	2015	2020	A;D
lc	11	data/figure/lc/2023-03-22--信达证券-提前还贷和房地产市场L型企稳_page16_图20新房和二手房价格环比出现改善.jpg	哪一年新房价格环比增长超过0.4%？	20-Jul	21-Apr	22-Apr	23-Jan	A;B
lc	12	data/figure/lc/2024-07-05--建信期货-宏观市场半年报：央行宽松、实体补库与春季躁动_page23_图35中国出口增速.jpg	哪些年份进口增速为负值？	16-Jan	19-Jan	20-Jan	23-Jan	C;D
lc	13	data/figure/lc/2023-11-02--国联证券-美联储11月议息会议点评：利率终点或隐约可见_page11_图表17疫情后同比新增非农就业万人.jpg	图中哪一年的非农就业人数下降幅度最大？	2021	2022	2023	2024	A
lc	14	data/figure/lc/2023-11-22--招银国际-2024年美国经济展望：在软着陆与温和衰退之间_page1_图3美国GDP同比增速.jpg	哪些年份美国GDP同比增速达到或超过10%？	2018	2020	2021	2022	C
lc	15	data/figure/lc/2024-08-02--国联证券-美联储7月议息会议点评：就业降温风险增加，降息预期增强_page9_图表6劳动力供给和劳动力需求百万人.jpg	图中哪几年劳动供给超过劳动需求？	2006	2012	2018	2022	A;B
lc	16	data/figure/lc/2023-07-31--国金证券-见微知著系列之五十八：库存周期下，蕴藏的投资机遇_page7_图表205月发改委项目核准加快.jpg	哪一年的固定资产投资项目金额在10月达到最高点？	2018	2019	2020	2022	D
