type	index	image	question	A	B	C	D	answer
frg	1	data/figure/frg/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page4_图表4公司股权结构.png	图中哪个股东的持股比例最高？	香港杰华特	同赢投资	哈勃投资	无法判断	A
frg	2	data/figure/frg/2023-01-29--专用设备-格力博-新股系列专题报告：格力博新股梳理_page5_格力博公司股权架构发行后.png	格力博的最大直接股东是以下哪一个？	陈寅	Greenworks Holdings	GHHK	无法判断	C
frg	3	data/figure/frg/2022-11-17--酿酒行业-今世缘-乘苏酒消费升级之风，借“缘”文化立足双雄_page6_图表5今世缘股权结构.png	涟水县人民政府通过今世缘集团间接持有江苏今世缘酒业股份有限公司的股权比例是多少？	44.72%	3.49%	3.31%	无法判断	A
frg	4	data/figure/frg/2023-01-10--商业百货-王府井-御政策东风，开新局之年_page5_图1公司股权结构情况.png	王府井的股权结构中，首旅集团直接持股比例是多少？	0.0404	7.35%	0.3284	无法判断	C
frg	5	data/figure/frg/2023-12-15--软件开发-中控技术-纵向拓品类，横向拓行业，智能制造平台级巨轮驶向世界_page12_图表24公司实控人持股占比较高核心客户持股绑定业务关系.png	中控技术的最大股东是谁？	褚健	杭州元聘企业管理合伙企业（有限合伙）	香港中央结算有限公司	无法判断	A
frg	6	data/figure/frg/2023-09-28--珠宝首饰-周大生-产品结构顺风而变，渠道模型取长补短_page4_图表5周大生股权结构高度集中.png	周大生珠宝股份有限公司的股东结构中，深圳市周氏投资有限公司持有多少比例的股份？	55.57%	7.19%	2.42%	无法判断	A
frg	7	data/figure/frg/2022-12-23--能源金属-天齐锂业-资源优质，增量释放，矿冶巨头轻装再上阵_page8_图表3公司股权结构2022年6月30日发布的H股招股书数据.png	以下关于天齐锂业的股权结构，哪个描述是错误的？	蒋卫平直接持有本公司90%的股份	张静女士直接持有本公司4.18%的股份	其他A股股东直接持有本公司60.45%的股份	无法判断	A
frg	8	data/figure/frg/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page4_图1股权结构集中实控人共持股4804.png	中大投资直接持有中大力德的股份比例是多少？	24.85%	21.85%	100%	无法判断	A
frg	9	data/figure/frg/2023-09-19--工程机械-浙江鼎力-海外市场扩张及臂式产品放量驱动公司成长_page4_图表2公司股权结构截至2023年半年报.png	浙江鼎力机械股份有限公司的控股股东是谁？	德清中鼎股权投资管理有限公司	许树根	香港中央结算有限公司	无法判断	B
frg	10	data/figure/frg/2022-12-13--半导体-长川科技-长川科技：国产测试机龙头，内生+外延铸就高成长_page4_图表3公司股权结构.png	杭州长川科技股份有限公司的控股股东是谁？	赵轶	国家集成电路产业投资基金股份有限公司	香港中央结算有限公司	无法判断	A
hg	11	data/figure/hg/2024-05-07--华金证券-2024年财政政策展望：扩张何去？融资何从？_page12_图14居民商品和服务消费同比增速对比.png	哪一年居民商品和服务消费增速差距最大？	2020	2021	2022	无法判断	B
hg	12	data/figure/hg/2023-09-22--中诚信国际-2023年8月财政数据点评：“房地产二次探底”持续，政府性基金收入降幅再度扩大_page8_no_caption.png	直方图中，新增专项债最高的省份是？	广东	江苏	浙江	无法判断	A
hg	13	data/figure/hg/2023-12-01--国金证券-2024年宏观经济形势展望：江春入旧年_page7_图表12美国CMBS逾期率.png	从图表中可以看出，2023年10月哪个类别的CMBS逾期率最低？	总体	工业	办公楼	无法判断	B
hg	14	data/figure/hg/2024-05-15--东海证券-降低金融市场收益率，引导更多资金进实体_page12_图2619802000美国股市IPO数量家.png	哪一行业在2024年5月1日的IPO数量最多？	金融	信息技术	可选消费	无法判断	A
hg	15	data/figure/hg/2022-10-13--天风证券-宏观：10月社融有望维持韧性_page5_图8除地产外其他行业的贷款需求指数均有所好转单位.png	从2022年6月到2022年9月，哪个行业的贷款需求指数增长最多？	制造业	基础设施	批发零售业	无法判断	D
hg	16	data/figure/hg/2022-10-30--中国银行-宏观观察2022年第47期（总第444期）：我国粮食安全面临的新挑战与应对建议＊_page5_no_caption.png	粮食产量最低的省份是？	湖南	四川	江苏	无法判断	A
hg	17	data/figure/hg/2023-06-28--首创证券-5月经济数据点评：5月经济数据的一些积极特征_page5_图8多数商品的零售额同比改善地产类有所回升.png	从直方图中可以看出，2023年4月零售额同比增幅最小的商品类别是？	汽车	通讯器材	无法判断	家具	D
