type	index	image	question	A	B	C	D	answer
lc	1	data/figure/lc/2024-07-03--联储证券-2024年中宏观展望：固本培元，如日之升_page8_图1215月固定资产投资主要由制造业拉动.jpg	在2023年5月至2024年5月期间，房地产开发投资同比增速在哪个月份最低？	23-Jul	23-Dec	24-May		C
lc	2	data/figure/lc/2024-06-24--光大期货-宏观周报：投资行业需求延续偏弱表现_page17_图表SCFI综合指数单位点.jpg	哪一年的SCFI综合指数波动最大？	2021年	2022年	2023年		B
lc	3	data/figure/lc/2024-07-09--国联证券-美国6月非农就业数据点评：失业率升破美联储6月预期_page16_图表33非农就业总人数单位百万人.jpg	哪一年非农就业人数首次超过疫情前水平？	2021	2022	2023		B
lc	4	data/figure/lc/2023-06-12--国金证券-海外周度观察：GDP和GDI的“背离”与“真相”-美国经济重现“技术性衰退”_page12_no_caption.jpg	2022年9月，哪个国家的航班飞行次数最高？	英国	意大利	法国		A
lc	5	data/figure/lc/2024-08-19--中航证券-2024年7月经济数据点评：内需修复进程是后续经济走势的关键_page7_图6固投及主要分项当月同比走势.jpg	在哪个时间段，基础设施建设投资同比增长率首次超过10%？	20-Apr	20-Jul	21-Jan		A
lc	6	data/figure/lc/2024-07-07--民生证券-高频数据跟踪周报：本周地产销售季节性回落_page9_图27CCFI综合指数续升点.jpg	图中2021年与2022年的交点在哪个月份？	6月1日	8月1日	10月1日		B
lc	7	data/figure/lc/2024-03-29--中银证券-1月美国国际资本流动报告点评：美联储宽松预期回撤，来美证券投资未能“开门红”_page5_no_caption.jpg	哪一年的波动幅度最大？	2022	2023	2024		A
lc	8	data/figure/lc/2023-08-17--光大期货-7月经济数据点评_page10_图表13房地产销售面积和销售金额当月同比单位.jpg	商品房销售金额在哪段时间内波动最为剧烈？	2021-06至2021-12	2022-01至2022-06	2022-07至2022-12		B
lc	9	data/figure/lc/2023-05-28--国联证券-全球货币体系的大变局：去美元化、债务困境和黄金石油的机会_page13_图表19外国持有美国国债的情况亿美元.jpg	哪一年外国持有美债的总量首次突破70000亿美元？	2015年	2017年	2019年		C
lc	10	data/figure/lc/2024-08-21--上海证券-2024年7月经济数据点评：增强经济回升向好态势_page3_图1三大行业工业增加值增速同比.jpg	采矿业增加值增速在哪一年出现了显著下降？	2016	2018	2020		C
lc	11	data/figure/lc/2023-07-10--东吴证券-宏观周报：货币政策刺激效果缘何“钝化”？_page13_图25磨机运转率同样小幅上行.jpg	根据图表，哪一年的磨机运转率波动最大？	2019年	2020年	2021年		B
lc	12	data/figure/lc/2024-04-17--天风证券-宏观：经济数据缘何超预期_page2_no_caption.jpg	在哪个时间段，制造业拉动的增长率首次超过房地产开发投资拉动？	2021-02至2021-08	2022-02至2022-08	2023-02至2023-08		B
lc	13	data/figure/lc/2023-04-19--万联证券-3月经济数据点评：经济仍处复苏前期，消费支撑作用加强_page7_图表18居民可支配收入持续修复.jpg	图中哪一年居民人均可支配收入累计名义同比最高？	2021年	2022年	2023年		A
lc	14	data/figure/lc/2024-03-27--信达证券-能耗目标：政策梳理和影响测算_page20_图20我国焦炭钢材出口量.jpg	钢材出口量在哪一年达到峰值？	2016	2018	2020		A
lc	15	data/figure/lc/2023-06-12--国金证券-海外周度观察：GDP和GDI的“背离”与“真相”-美国经济重现“技术性衰退”_page8_图表19基于GDP的衰退预测模型.jpg	在哪个时间段，GDP衰退概率达到最高点？	1959-1960	2008-2009	2020-2021		C
lc	16	data/figure/lc/2024-02-22--中国银河-宏观专题报告：美国库存回升，中国出口转正_page0_图出口是工业企业利润的决定性因素.jpg	在哪个年份，出口年度同比增速达到最低点？	2009	2016	2020		A
lc	17	data/figure/lc/2024-05-22--国金证券-见微知著系列之七十六：工业品涨价的“复苏”逻辑_page6_图表112024年PTA价格指数维持高位.jpg	观察图表，哪一年的南华PTA价格指数波动最大？	2020	2021	2022		A
lc	18	data/figure/lc/2023-04-10--平安证券-美国3月非农就业数据解读：美联储会停止加息么？_page3_图表74月7日美债收益率上升.jpg	2023年2月至3月，2年美债利率的变化趋势是？	上升	下降	先升后降		A
lc	19	data/figure/lc/2024-05-30--大同证券-4月份工业企业利润数据解读：经济温差或侵蚀盈利，补库开启仍需观察_page1_图表24月份出口增速明显回升.jpg	哪一年出口金额当月同比达到最高点？	24-Jan	24-Feb	24-Mar		B
lc	20	data/figure/lc/2024-01-05--国海证券-2024年十大关键词_page4_图表海外经济疲弱我国出口或承压.jpg	美国制造业PMI在哪一年达到最高点？	2020	2021	2022		B
lc	21	data/figure/lc/2024-07-08--国泰期货-海外宏观及大类资产周度报告_page19_中国央行黄金与外汇储备.jpg	外汇持有量在哪个年份达到最低点？	2016	2018	2020		A
lc	22	data/figure/lc/2024-07-07--民生证券-高频数据跟踪周报：本周地产销售季节性回落_page10_图29CICFI综合指数下降点.jpg	图中2021年至2022年CICFI综合指数的变化趋势是？	持续上升	先升后降	持续下降		B
lc	23	data/figure/lc/2024-02-25--东吴证券-国内宏观经济周报：春节后国内经济“首秀”表现如何？_page14_图28农产品价格节后回落.jpg	哪一年的农产品批发价格指数在春节后（02-10）达到最高值？	2020	2021	2022		B
lc	24	data/figure/lc/2023-11-26--东海证券-宏观周报：地产销售恢复偏缓，风险化解力度加大_page7_图8美元兑人民币汇率与美元指数.jpg	观察图表，哪个时间段的美元指数达到最高点？	23-Sep	23-Oct	23-Nov		B
lc	25	data/figure/lc/2023-05-16--东吴证券-宏观点评：4月经济：高基数“掩盖”了什么真相？_page4_no_caption.jpg	2022年8月，哪个行业的同比增长率最低？	电、热、水供应	交通仓储	水利、环境和公共设施		B
lc	26	data/figure/lc/2024-07-15--中泰证券-全球7月宏观跟踪：美联储降息预期升温，全球制造业景气微降_page21_图表20122024年美国核心CPI与核心PCE数据.jpg	图中显示，美国核心CPI在哪一年开始显著上升？	2020	2021	2022		B
lc	27	data/figure/lc/2024-03-24--民生证券-流动性跟踪周报：R007上行至2.08%_page10_图12不同银行CD发行成功率.jpg	2024年2月，哪种银行的CD发行成功率最低？	城商行	股份行	农商行		A
lc	28	data/figure/lc/2024-07-11--万联证券-6月通胀数据点评：CPI延续低位，需求有待修复_page4_图表9CPI燃料相关分项走势.jpg	哪个年份OPEC一揽子石油价格达到最高点？	2021	2022	2023		B
lc	29	data/figure/lc/2022-10-28--山西证券-9月工业企业利润数据点评与A股行业盈利展望：利润增速承压，中下游持续改善_page8_图22钢铁9月利润增速或持续下行.jpg	钢铁行业在哪个时间段归母净利润同比增速持续为负？	2014-2015	2018-2019	2020-2021		A
lc	30	data/figure/lc/2023-10-13--国联证券-美国9月CPI数据点评：通胀数据略超预期，美联储或继续鹰派姿态_page4_图表7核becauseGP未来情景.jpg	哪条线在2023年12月达到最高点？	环比0.4%	环比0.3%	环比0.2%		A
lc	31	data/figure/lc/2023-12-03--信达证券-2024年财政政策展望：结构、力度和工具_page9_图8地产行情变差导致土地财政退潮.jpg	房地产开发投资完成额累计同比在2021年的最高点出现在哪个季度？	第一季度	第二季度	第三季度		B
lc	32	data/figure/lc/2023-12-17--中国银河-2024年中国经济展望：《变局·重构》_page11_图16日本危机期间的财政政策过于保守.jpg	在哪个年份，企业部门杠杆率达到最高点？	1993	1995	1997		A
lc	33	data/figure/lc/2024-04-07--粤开证券-【粤开宏观】我国就业市场全景图谱与三大重点就业人群分析_page10_图表1020182022届本科毕业生未就业比例变化趋势.jpg	2020年其他待就业的比例是多少？	5.20%	5.50%	6.00%		A
lc	34	data/figure/lc/2024-02-25--东吴证券-国内宏观经济周报：春节后国内经济“首秀”表现如何？_page13_图23沥青库存继续上行.jpg	在2021年和2022年中，哪一年的沥青库存增长速度更快？	2021年	2022年	两者相同		B
lc	35	data/figure/lc/2024-07-12--民生证券-2024年6月外贸数据点评：三条线索，出口还能强多久？_page2_图3中国出口价格显著低于全球.jpg	根据图表，哪一年中国出口价格与全球出口价格差距最大？	2008	2014	2021		A
lc	36	data/figure/lc/2023-07-31--中邮证券-宏观研究：装备制造业盈利占优，消费需求温和复苏_page7_图表13PTA开工率.jpg	哪一年的PTA开工率波动最大？	2021	2022	2023		B
lc	37	data/figure/lc/2024-02-25--东吴证券-国内宏观经济周报：春节后国内经济“首秀”表现如何？_page12_图20螺纹钢库存加速上行.jpg	2021年螺纹钢库存的最高点出现在哪个月份？	2月	3月	1月		A
lc	38	data/figure/lc/2023-07-17--国信证券-宏观经济宏观周报：7月上旬国内生产资料价格继续上涨，PPI环比或转正_page0_市场走势.jpg	工业增加值月度同比增速在哪一年出现了显著下降？	2022年	2023年	2024年		B
lc	39	data/figure/lc/2024-07-29--平安证券-中国经济高频观察（7月第4周）：7月高频数据表现如何_page5_图表207月涤纶长丝江浙织机开工回落同比涨幅收窄.jpg	在2023年，开工率最高点出现在哪个月份？	4月	6月	8月		A
lc	40	data/figure/lc/2023-11-22--招银国际-2024年美国经济展望：在软着陆与温和衰退之间_page16_图50欧元美元汇率与利差.jpg	在哪个时间段，资本充足率出现了显著上升？	2009-2010	2015-2016	2020-2021		C
lc	41	data/figure/lc/2024-07-18--上海证券-2024年6月经济数据点评：消费走弱，经济仍需巩固_page4_图3固定投资完成额增速累计同比.jpg	根据图表，第三产业在哪一年达到了最低点？	23-Jun	23-Oct	24-Feb		B
